2021_id	2022_id	headline_sim	body_sim	2021_headline	2022_headline
C01	H201	1.000	0.510	Egregious or exceptional violations. Egregious behavior beyond what is listed in the rules	*Egregious or exceptional violations. Egregious behavior beyond what is listed in the rule
C02	H101	0.663	0.863	Be a good person. All teams must be civil toward their team members, other team members,	*Be a good person. All teams must be civil toward everyone and respectful of team and even
C03	H105	1.000	0.662	Asking other teams to throw a MATCH - not cool. A team may not encourage an ALLIANCE, of	*Asking other teams to throw a MATCH - not cool. A team may not encourage an ALLIANCE, of
C04	H105	0.570	0.569	Letting someone coerce you in to throwing a MATCH - also not cool. A team, as the result o	*Asking other teams to throw a MATCH - not cool. A team may not encourage an ALLIANCE, of
C05	H102	0.923	0.970	Enter only one (1) ROBOT. Each registered FIRST Robotics Competition team may enter only o	*Enter only 1 ROBOT. Each registered FIRST Robotics Competition team may enter only 1 ROBO
C06	H305	1.000	0.875	Show up to your MATCHES. Upon each team's ROBOT passing initial, complete Inspection, the	*Show up to your MATCHES. Upon each team's ROBOT passing initial, complete inspection, the
C07	H301	1.000	0.973	Be prompt/safe when coming to and going from the FIELD. DRIVE TEAMS may not cause	*Be prompt/safe when coming to and going from the FIELD. DRIVE TEAMS may not cause
C08	G201	1.000	0.548	Don't expect to gain by doing others harm. Strategies clearly aimed at forcing the opponen	*Don't expect to gain by doing others harm. Strategies clearly aimed at forcing the oppone
C09	H104	0.418	0.179	One student, one Head REFEREE. A team may only send one (1) pre-college student from its	*Never step over the guardrail. Team members may only enter or exit the FIELD through open
C10	H307	0.908	0.888	Plug in to/be in your PLAYER STATION. The OPERATOR CONSOLE must be used in the	*Plug in to/be in your DRIVER STATION. The OPERATOR CONSOLE must be used in the DRIVER
C11	G209	0.482	0.469	Don't trick the sensors. Teams may not interfere with any automated scoring hardware.	Don't climb on each other. A ROBOT may not be fully supported by a partner ROBOT.
G01	G401	0.442	0.134	Know your ROBOT setup. When placed on the FIELD for a MATCH, each ROBOT must be:	*Keep CARGO in bounds. ROBOTS may not eject opponent CARGO from the FIELD other than
G02	G401	0.424	0.148	Teams may not enable their ROBOTS on the FIELD. Teams may not tether to the ROBOT while	*Keep CARGO in bounds. ROBOTS may not eject opponent CARGO from the FIELD other than
G03	G210	0.708	0.502	During AUTO, no defense. During AUTO, a ROBOT'S BUMPERS may not break the plane of their	During AUTO, no defense. During AUTO, a ROBOT with any part of its BUMPERS on the opposite
G04	G210	0.532	0.260	During AUTO, behind the lines. During AUTO, DRIVE TEAM members in ALLIANCE STATIONS	During AUTO, no defense. During AUTO, a ROBOT with any part of its BUMPERS on the opposite
G05	G210	0.480	0.341	During AUTO, let the ROBOT do its thing. During AUTO, DRIVE TEAMS may not directly or	During AUTO, no defense. During AUTO, a ROBOT with any part of its BUMPERS on the opposite
G06	G403	0.582	0.695	No more than five (5) POWER CELLS at a time. ROBOTS may not have greater-than-momentary	2 CARGO max. ROBOTS may not have greater-than-MOMENTARY CONTROL of more than 2
G07	G401	0.639	0.564	Keep POWER CELLS in bounds. ROBOTS may not intentionally eject POWER CELLS from the	*Keep CARGO in bounds. ROBOTS may not eject opponent CARGO from the FIELD other than
G08	G402	0.746	0.636	POWER CELLS: use as directed. ROBOTS may not deliberately use POWER CELLS in an attempt	*CARGO: use as directed. ROBOTS may neither deliberately use CARGO in an attempt to ease o
G09	G209	0.527	0.271	No full court shots. A ROBOT whose BUMPERS are fully contained by their SECTOR may not	Don't climb on each other. A ROBOT may not be fully supported by a partner ROBOT.
G10	G210	0.494	0.304	Right of way. A ROBOT whose BUMPERS are intersecting the opponent's TARGET ZONE,	During AUTO, no defense. During AUTO, a ROBOT with any part of its BUMPERS on the opposite
G11	G209	0.465	0.268	Give opponents some space. An opponent ROBOT may not contact a ROBOT whose	Don't climb on each other. A ROBOT may not be fully supported by a partner ROBOT.
G12	G204	0.413	0.284	Leave the opponent's CONTROL PANEL alone. During TELEOP, a ROBOT may not contact	*Stay out of other ROBOTS. A ROBOT may not use a COMPONENT outside its FRAME
G13	G209	0.626	0.525	Don't climb on each other unless at the RENDEZVOUS POINT. A ROBOT may not be fully	Don't climb on each other. A ROBOT may not be fully supported by a partner ROBOT.
G14	G101	0.407	0.327	During the ENDGAME, don't touch ROBOTS in their RENDEZVOUS POINT. During the	*Dangerous ROBOTS: not allowed. ROBOTS whose operation or design is dangerous or unsafe
G15	G204	0.384	0.212	During the ENDGAME, don't mess with HANGING opponents. During the ENDGAME, a	*Stay out of other ROBOTS. A ROBOT may not use a COMPONENT outside its FRAME
G16	G104	0.528	0.284	Keep your BUMPERS low. BUMPERS must be in the BUMPER ZONE (see R18) during the	*Keep your BUMPERS together. BUMPERS may not fail such that a segment completely
G17	G106	0.847	0.690	Tall ROBOTS not allowed. ROBOT height, as measured when it's resting normally on a flat	Tall ROBOTS in HANGAR ZONE only. ROBOT height, as measured when it's resting normally on a
G18	G107	0.912	0.630	Don't overextend yourself. ROBOTS may not extend more than 12 inches (~30 cm) beyond	Don't overextend yourself. ROBOTS may not extend more than 16 in. (~40 cm) beyond their
G19	G105	1.000	0.995	Keep it together. ROBOTS may not intentionally detach or leave parts on the FIELD.	*Keep it together. ROBOTS may not intentionally detach or leave parts on the FIELD.
G20	G104	1.000	0.880	Keep your BUMPERS together. BUMPERS may not fail such that a segment completely	*Keep your BUMPERS together. BUMPERS may not fail such that a segment completely
G21	G401	0.526	0.258	There's a 5-count on pins. ROBOTS may not PIN an opponent's ROBOT for more than five (5)	*Keep CARGO in bounds. ROBOTS may not eject opponent CARGO from the FIELD other than
G22	G104	0.383	0.155	Don't collude with your partners to shut down major parts of game play. Two or more	*Keep your BUMPERS together. BUMPERS may not fail such that a segment completely
G23	G107	0.461	0.238	Don't tear others down to lift yourself up. ROBOT actions that appear to be deliberate to 	Don't overextend yourself. ROBOTS may not extend more than 16 in. (~40 cm) beyond their
G24	G204	0.890	0.532	Stay out of other ROBOTS. A ROBOT with a COMPONENT(S) outside its FRAME	*Stay out of other ROBOTS. A ROBOT may not use a COMPONENT outside its FRAME
G25	G101	0.480	0.226	Damaging other ROBOTS, not allowed. Regardless of intent, a ROBOT may not initiate direct	*Dangerous ROBOTS: not allowed. ROBOTS whose operation or design is dangerous or unsafe
G26	G301	0.976	0.883	Be careful what you interact with. ROBOTS and OPERATOR CONSOLES are prohibited from	Be careful what you interact with. ROBOTS and OPERATOR CONSOLES are prohibited from the
H01	H303	1.000	0.833	You can't bring/use anything you want. The only equipment that may be brought to the ARENA	*You can't bring/use anything you want. The only equipment that may be brought to the AREN
H02	H310	0.895	0.381	Know your DRIVE TEAM positions. Prior to the start of the MATCH, DRIVE TEAMS and any	Know your DRIVE TEAM positions. Prior to the start of the MATCH, DRIVE TEAM members must
H03	H311	0.734	0.627	Leave the POWER CELLS alone. Prior to the start of the MATCH, DRIVE TEAMS may not	Leave the CARGO alone. Prior to the start of the MATCH, HUMAN PLAYERS may not remove the
H04	H501	1.000	0.998	COACHES and other teams: hands off the controls. A ROBOT shall be operated only by the	*COACHES and other teams: hands off the controls. A ROBOT shall be operated only by the
H05	H502	0.769	0.851	No wandering. During the MATCH, DRIVERS, COACHES, and HUMAN PLAYERS may not contact	No wandering. DRIVERS, COACHES, and HUMAN PLAYERS may not contact anything outside the
H06	H504	0.553	0.645	POWER CELLS through LOADING BAYS only. POWER CELLS may only be introduced to the	TELEOP CARGO delivery. During TELEOP, CARGO may only be introduced to the FIELD
H07	H505	0.541	0.329	COACHES, no POWER CELLS. During a MATCH, COACHES may not touch POWER CELLS,	Opponent CARGO is off limits. During a MATCH, HUMAN PLAYERS may not contact opponent
H08	H202	0.383	0.051	This rule has been renumbered as C11.	The intent of this rule is to provide the Head REFEREES the flexibility necessary
H09	H504	0.488	0.135	POWER CELLS, recycle. During TELEOP, an ALLIANCE may not have more than fourteen (14)	TELEOP CARGO delivery. During TELEOP, CARGO may only be introduced to the FIELD
H10	H307	0.509	0.272	POWER CELLS go on the rack. POWER CELLS must be stored on the LOADING BAY racks.	*Plug in to/be in your DRIVER STATION. The OPERATOR CONSOLE must be used in the DRIVER
H11	H306	0.458	0.245	By invitation only. Only DRIVE TEAMS for the current MATCH are allowed in their respective	*Identify yourself. DRIVE TEAMS must wear proper identification while in the ARENA. Proper
H12	H306	1.000	0.794	Identify yourself. DRIVE TEAMS must wear proper identification while in the ARENA. Proper	*Identify yourself. DRIVE TEAMS must wear proper identification while in the ARENA. Proper
H13	H308	0.556	0.164	Don't abuse ARENA access. Team members (except DRIVERS, HUMAN PLAYERS, and	*Don't bang on the glass. Team members may never strike or hit the DRIVER STATION plastic
H14	H403	0.448	0.362	Don't mess with POWER CELLS. Teams may not modify POWER CELLS in any way.	*Let the ROBOT do its thing. During AUTO, DRIVE TEAMS may not directly or indirectly inter
H15	H308	0.955	0.966	Don't bang on the glass. Team members may never strike or hit the PLAYER STATION plastic	*Don't bang on the glass. Team members may never strike or hit the DRIVER STATION plastic
H16	H108	0.930	0.055	Be careful what you interact with. DRIVE TEAMS are prohibited from the following actions w	*Be careful what you interact with. Team members are prohibited from the following actions
I01	I101	1.000	0.508	It's your team's ROBOT. The ROBOT and its MAJOR MECHANISMS must be built by the FIRST	*It's your team's ROBOT. The ROBOT and its MAJOR MECHANISMS must be built by the FIRST
I02	I105	0.374	0.151	Get inspected before playing a Qualification/Playoff MATCH. A team is only permitted to	recent passed inspection, it must be re-inspected before it is eligible to participate in 
I03	I105	0.402	0.249	Bring it all to Inspection. At the time of Inspection, the OPERATOR CONSOLE and the ROBOT	recent passed inspection, it must be re-inspected before it is eligible to participate in 
I04	I105	0.364	0.158	Unless the change is listed below, any change to a ROBOT must get re-Inspected. A ROBOT	recent passed inspection, it must be re-inspected before it is eligible to participate in 
I05	I101	0.375	0.174	Don't exploit I4. Teams may not use the re-Inspection process in I4 to circumvent the weig	*It's your team's ROBOT. The ROBOT and its MAJOR MECHANISMS must be built by the FIRST
I06	I107	0.333	0.010	This rule has been removed for the 2021 season.	compliance with specific rules (firmware check, etc.). INSPECTORS may allow the ROBOT to b
I07	I107	0.383	0.094	ROBOTS are off for Inspection, mostly. For the safety of all those involved, ROBOTS, must 	compliance with specific rules (firmware check, etc.). INSPECTORS may allow the ROBOT to b
I08	I107	0.361	0.871	No student, no Inspection. At least one student team member must accompany the ROBOT for a	compliance with specific rules (firmware check, etc.). INSPECTORS may allow the ROBOT to b
R01	R101	0.599	0.930	The ROBOT (excluding BUMPERS) must have a FRAME PERIMETER, contained within the	*FRAME PERIMETER must be fixed. The ROBOT (excluding BUMPERS) must have a FRAME
R02	R103	0.511	0.213	In the STARTING CONFIGURATION (the physical configuration in which a ROBOT starts a MATCH)	configuration in which a ROBOT starts a MATCH), no part of the ROBOT shall extend outside 
R03	R102	0.460	0.262	A ROBOT'S STARTING CONFIGURATION may not have a FRAME PERIMETER greater than 120	*STARTING CONFIGURATION - no overhang. In the STARTING CONFIGURATION (the physical
R04	R105	0.723	0.835	ROBOTS may not extend more than 12 in. (~30 cm) beyond their FRAME PERIMETER (see Figure	ROBOT extension limit. ROBOTS may not extend more than 16 in. (~40 cm) beyond their FRAME
R05	R105	0.420	0.248	The ROBOT weight must not exceed 125 lbs. (~56 kg). When determining weight, the basic ROB	ROBOT extension limit. ROBOTS may not extend more than 16 in. (~40 cm) beyond their FRAME
R06	R201	0.762	0.637	Traction devices must not have surface features that could damage the ARENA (e.g. metal,	*No digging into carpet. Traction devices must not have surface features that could damage
R07	R103	0.503	0.416	Protrusions from the ROBOT and exposed surfaces on the ROBOT shall not pose hazards to the	configuration in which a ROBOT starts a MATCH), no part of the ROBOT shall extend outside 
R08	R707	0.365	0.029	ROBOT parts shall not be made from hazardous materials, be unsafe, cause an unsafe conditi	The FMS Whitepaper has more details on how to check and optimize bandwidth
R09	R714	0.458	0.241	ROBOTS must allow removal of game pieces from the ROBOT and the ROBOT from FIELD	controller outputs shall be directly connected to the roboRIO, with the exception of the d
R10	R101	0.407	0.210	Lubricants may be used only to reduce friction within the ROBOT. Lubricants must not	*FRAME PERIMETER must be fixed. The ROBOT (excluding BUMPERS) must have a FRAME
R11	R622	0.381	0.060	This rule has been removed for the 2021 season.	This rule does not prohibit the use of smaller value breakers in the PDP/PDH or
R12	R301	0.692	0.633	No individual, non-KOP item or software used on the ROBOT shall have a Fair Market Value t	*Individual item cost limit. No individual, non-KOP item or software shall have a Fair Mar
R13	R303	0.519	0.037	Example 2: A team receives a donated sensor. The company would normally sell this	Example 2: A team re-uses a RAPID REACT-legal motor from a previous ROBOT
R14	R622	0.381	0.060	This rule has been removed for the 2021 season.	This rule does not prohibit the use of smaller value breakers in the PDP/PDH or
R15	R622	0.381	0.060	This rule has been removed for the 2021 season.	This rule does not prohibit the use of smaller value breakers in the PDP/PDH or
R16	R103	0.417	0.055	During an event a team is attending (regardless of whether the team is physically at the e	configuration in which a ROBOT starts a MATCH), no part of the ROBOT shall extend outside 
R17	R401	0.601	0.925	ROBOTS are required to use BUMPERS to protect all outside corners of the FRAME	*BUMPERS should protect all corners. ROBOTS are required to use BUMPERS to protect all
R18	R402	0.765	0.310	Except as allowed per G16, BUMPERS must be located entirely within the BUMPER ZONE,	*BUMPERS must stay low. BUMPERS must be located entirely within the BUMPER ZONE, which
R19	R402	0.530	0.380	BUMPERS must not be articulated (relative to the FRAME PERIMETER).	*BUMPERS must stay low. BUMPERS must be located entirely within the BUMPER ZONE, which
R20	R402	0.417	0.312	BUMPERS (the entire BUMPER, not just the cover) must be designed for quick and easy	*BUMPERS must stay low. BUMPERS must be located entirely within the BUMPER ZONE, which
R21	R402	0.439	0.174	Each ROBOT must be able to display primarily Red or Blue BUMPERS to MATCH their	*BUMPERS must stay low. BUMPERS must be located entirely within the BUMPER ZONE, which
R22	R402	0.479	0.140	Team numbers must be displayed and positioned on the BUMPERS such that an observer	*BUMPERS must stay low. BUMPERS must be located entirely within the BUMPER ZONE, which
R23	R410	0.440	0.160	Each set of BUMPERS (including any fasteners and/or structures that attach them to the	*BUMPERS must be supported. BUMPERS must be supported by the structure/frame of the
R24	R505	0.449	0.092	BUMPERS must be constructed as follows (see Figure 9-7):	*Control servos safely. Servos must be connected to, and only to, 1 of the following:
R25	R409	0.811	0.808	Corner joints between BUMPERS must be filled with pool noodle material. Examples of	*Fill BUMPER corners. Corner joints between BUMPERS must be filled with pool noodle materi
R26	R410	0.667	0.947	BUMPERS must be supported by the structure/frame of the ROBOT (see Figure 9-9). To be	*BUMPERS must be supported. BUMPERS must be supported by the structure/frame of the
R27	R501	0.807	0.736	The only motors and actuators permitted on 2021 ROBOTS include the following (in any	*Allowable motors. The only motors and actuators permitted include the following (in any
R28	R503	0.426	0.374	The integral mechanical and electrical system of any motor must not be modified. Motors, s	D. The connector housings on KOP automotive motors listed in Table 9-1 may be modified to
R29	R505	0.411	0.152	With the exception of servos, fans, or motors integral to sensors of COTS computing device	*Control servos safely. Servos must be connected to, and only to, 1 of the following:
R30	R504	0.709	0.614	Each power regulating device may control electrical loads per Table 9-2. Unless otherwise 	*Don't overload controllers. Each power regulating device may control electrical loads per
R31	R505	0.816	0.954	Servos must be connected to, and only to, one of the following:	*Control servos safely. Servos must be connected to, and only to, 1 of the following:
R32	R601	0.541	0.955	The only legal source of electrical energy for the ROBOT during the competition, the ROBOT	*Battery limit - everyone has the same power. The only legal source of electrical energy f
R33	R602	0.466	0.349	COTS USB battery packs with a capacity of 100Wh or less (20000mAh at 5V) and 2.5 Amp max	*Other batteries for cameras or computers only. COTS USB battery packs with a capacity of
R34	R101	0.429	0.161	Any battery charger used to charge a ROBOT battery must have the corresponding Anderson SB	*FRAME PERIMETER must be fixed. The ROBOT (excluding BUMPERS) must have a FRAME
R35	R103	0.393	0.407	Any battery charger used to charge a ROBOT battery may not be used such that it exceeds 6-	configuration in which a ROBOT starts a MATCH), no part of the ROBOT shall extend outside 
R36	R612	0.419	0.304	No batteries other than those allowed per R32 and R33 are allowed on the ROBOT, whether or	*1 breaker per circuit. All circuits, with the exceptions of those listed in R615 and R617
R37	R809	0.450	0.147	The ROBOT battery must be secured such that it will not dislodge during vigorous ROBOT	A ROBOT'S compressor may be substituted by another compressor, but a ROBOT
R38	R716	0.422	0.369	Each electrical terminal on the ROBOT battery, main breaker, and their connections (lugs,	*Connect the PDP/PDH to the roboRIO CAN bus. The PDP/PDH CAN interface must be
R39	R717	0.419	0.153	Non-electrical sources of energy used by the ROBOT, (i.e., stored at the start of a MATCH)	connected to the built-in CAN bus on the roboRIO (either directly or daisy-chained via ano
R40	R613	0.384	0.146	The one (1) ROBOT battery, a single pair of Anderson Power Products (or APP) 2-pole SB typ	(i.e. the load terminals, as shown in Figure 9-10) of the PDP/PDH, not the M6 cap screws.
R41	R612	0.747	0.696	All circuits, with the exceptions of those listed in R46 and R48, must connect to, and hav	*1 breaker per circuit. All circuits, with the exceptions of those listed in R615 and R617
R42	R615	0.573	0.488	All wiring and electrical devices, including all Control System COMPONENTS, shall be elect	*The ROBOT frame is not a wire. All wiring and electrical devices shall be electrically is
R43	R905	0.455	0.092	The 120A circuit breaker must be quickly and safely accessible from the exterior of the RO	*The OPERATOR CONSOLE must have a visible display. The OPERATOR CONSOLE, the set of
R44	R905	0.398	0.436	The PDP, associated wiring, and all circuit breakers must be visible for Inspection.	*The OPERATOR CONSOLE must have a visible display. The OPERATOR CONSOLE, the set of
R45	R501	0.452	0.081	Any active electrical item that is not an actuator (specified in R27) or core Control Syst	*Allowable motors. The only motors and actuators permitted include the following (in any
R46	R714	0.443	0.328	The roboRIO power input must be connected to the dedicated supply terminals on the PDP	controller outputs shall be directly connected to the roboRIO, with the exception of the d
