rule_id	prefix	min_sim	mean_sim	first_last_sim	2022->2023	2023->2024	2024->2025	2025->2026	headline_2026
R408	R	0.030	0.694	0.046	0.955	0.951	0.030	0.842	*Weight limit with BUMPERS. The total weight of the ROBOT (as described in R103) with BUMPERS
R504	R	0.037	0.343	0.280	0.423	0.037	0.040	0.872	*Power (most) actuators off of approved devices. With the exception of servos, fans, or motors
R303	R	0.040	0.570	0.042	0.040	0.882	0.544	0.811	*Create new designs and software, unless they're public. ROBOT software and designs created before
R205	R	0.050	0.264	0.079	0.050	0.274	0.190	0.544	*Don't contaminate the FIELD. Liquids, gels, greases and fine particles must not contaminate the FIELD
R906	R	0.052	0.685	0.033	0.962	0.727	0.052	1.000	*No unsafe OPERATOR CONSOLES. OPERATOR CONSOLES shall not be made using hazardous
I105	I	0.065	0.593	0.079	0.319	0.065	1.000	0.989	*Don't exploit re-inspection. Teams may not use the re-inspection process in I104 to circumvent the
R804	R	0.067	0.514	0.056	0.267	0.067	0.742	0.980	*Only use specific pneumatic devices. The only pneumatic system items permitted on ROBOTS include
G202	G	0.077	0.612	0.161	0.748	0.077	1.000	0.621	*Don't bang on the glass. A team member may never strike or hit the DRIVER STATION plastic
R611	R	0.086	0.333	0.034	0.106	0.209	0.086	0.933	connect to, and have power sourced solely by, a single protected connector pair of the PD. Circuits
G204	G	0.086	0.764	0.085	1.000	0.086	0.985	0.984	*Letting someone coerce you into throwing a MATCH - also not cool. A team, as the result of
R502	R	0.105	0.528	0.217	0.105	0.977	0.128	0.900	*Only 4 propulsion motors. A ROBOT may not have more than 4 propulsion motors. A propulsion motor
G403	G	0.106	0.250	0.266	0.337	0.395	0.106	0.163	with a ROBOT or an OPERATOR CONSOLE unless for personal safety, OPERATOR CONSOLE safety, or
R703	R	0.110	0.619	0.047	0.945	0.110	0.599	0.822	WCP-1538), that has been configured with the appropriate encryption key for your team number at each
R505	R	0.114	0.551	0.157	1.000	0.114	0.440	0.650	*Don't overload controllers. Each power regulating device may control electrical loads per Table 8-2.
G405	G	0.118	0.385	0.093	0.624	0.164	0.633	0.118	*Keep SCORING ELEMENTS in bounds. A ROBOT may not intentionally eject SCORING ELEMENTS
R803	R	0.128	0.529	0.880	0.792	0.221	0.128	0.974	*Don't modify pneumatics. All pneumatic COMPONENTS must be used in their original, unaltered
R602	R	0.136	0.547	0.332	0.222	0.136	0.854	0.977	*Other batteries for cameras or computers only. COTS USB battery packs with a capacity of 100Wh or
G201	G	0.137	0.784	0.138	1.000	0.137	0.997	1.000	*Be a good person. All teams must be civil toward everyone and respectful of team and event
R623	R	0.141	0.599	0.185	1.000	0.254	0.141	1.000	*Use only appropriate connectors. Branch circuits may include intermediate elements such as COTS
I102	I	0.141	0.553	0.166	0.377	0.141	0.703	0.991	*Get inspected before playing a Qualification MATCH. A team is only permitted to participate in a
G104	G	0.148	0.752	0.128	1.000	0.148	0.986	0.873	*Teams may not enable their ROBOTS on the FIELD. Teams may not tether to the ROBOT while on the
R807	R	0.149	0.322	0.281	0.149	0.158	0.308	0.673	*Air storage pressure limit. Stored air pressure on the ROBOT must be no greater than 120.0psi (~827
R618	R	0.152	0.568	0.131	1.000	0.450	0.152	0.668	be connected directly to a non-switched pair of protected output terminals of a PD with a 10A fuse or
R402	R	0.157	0.597	0.089	1.000	0.335	0.157	0.897	*BUMPER construction. BUMPERS must consist of the following elements. With the exception of
G208	G	0.158	0.559	0.263	0.158	0.176	0.984	0.921	*Show up to your Qualification MATCHES. If a ROBOT has passed initial, complete inspection, at least
G302	G	0.164	0.468	0.200	0.306	0.164	0.989	0.414	*Limit what you use during a MATCH. Items used during a match must fit on your team's DRIVER
G209	G	0.165	0.225	0.170	0.277	0.283	0.165	0.175	*Keep your ROBOT together. A ROBOT may not intentionally detach or leave a part on the FIELD.
R905	R	0.166	0.467	0.223	0.375	0.365	0.166	0.960	*FIELD wireless only. Other than the system provided by the FIELD, no other form of wireless
G205	G	0.166	0.703	0.197	0.657	0.166	0.990	1.000	*Throwing your own MATCH is bad. A team may not intentionally lose a MATCH or sacrifice Ranking
R619	R	0.168	0.435	0.073	1.000	0.298	0.273	0.168	*Only use specified circuit breakers in a PD. The only circuit breakers permitted for use in the PD are:
R403	R	0.169	0.548	0.318	1.000	0.169	0.252	0.771	*BUMPER extension limit. BUMPERS must not extend more than 4.0in (10.16cm) from the ROBOT
R604	R	0.170	0.448	0.214	0.288	0.170	0.333	1.000	have the corresponding Anderson SB connector installed.
R302	R	0.176	0.726	0.193	0.809	0.922	0.176	0.999	*MAJOR MECHANISM, from this year only. MAJOR MECHANISMS, as defined in I101, created before
R406	R	0.180	0.563	0.300	0.952	0.322	0.180	0.798	*Fill BUMPER corners. Corner joints between BUMPERS must be filled with uncompressed padding
